cat,number
rolling_news,9044
world,5050
noticias,4224
iran,3682
pakistan,2103
afghanistan,1959
multimedia,1657
internacional,1555
sport,1350
international,1293
india,1285
america_latina,1274
business,1204
cultura_sociedad,913
middleeast,874
worldnews,872
russia,841
radio,769
science,755
football,674
arts,664
ciencia_tecnologia,627
entertainment,621
simp,545
vietnam,539
economia,484
haberler,424
interactivity,411
help,354
ciencia,308
av,292
uk,282
pictures,267
cultura,252
culture,238
southasia,232
news,223
learningenglish,192
life,178
institutional,171
participe,121
aboutuk,118
scienceandtech,106
sports,96
forum,95
tvandradio,85
multimedya,72
inthepress,71
artandculture,56
columns,56
basinozeti,56
aprenda_ingles,49
learning_english,44
ekonomi,41
tv,40
izlenim,39
kurumsal,33
ingilizce_dersleri,24
deportes,19
ozeldosyalar,17
institucional,16
services,16
ajuda,13
ayuda,11
english,8
interatividade,6
servicos,5
servicios,4
