Week,Taylor Swift: (United States),Kim Kardashian: (United States),covid19: (United States)
2015-09-13,22,19,0
2015-09-20,21,18,0
2015-09-27,21,18,0
2015-10-04,21,19,0
2015-10-11,24,22,0
2015-10-18,21,22,0
2015-10-25,21,18,0
2015-11-01,19,17,0
2015-11-08,16,19,0
2015-11-15,15,16,0
2015-11-22,18,19,0
2015-11-29,14,26,0
2015-12-06,15,45,0
2015-12-13,19,24,0
2015-12-20,19,30,0
2015-12-27,22,27,0
2016-01-03,16,22,0
2016-01-10,13,20,0
2016-01-17,13,20,0
2016-01-24,12,24,0
2016-01-31,11,23,0
2016-02-07,16,20,0
2016-02-14,51,28,0
2016-02-21,18,26,0
2016-02-28,14,20,0
2016-03-06,14,100,0
2016-03-13,14,25,0
2016-03-20,12,19,0
2016-03-27,14,24,0
2016-04-03,20,19,0
2016-04-10,14,16,0
2016-04-17,16,21,0
2016-04-24,13,22,0
2016-05-01,15,20,0
2016-05-08,11,17,0
2016-05-15,11,20,0
2016-05-22,11,18,0
2016-05-29,20,18,0
2016-06-05,14,17,0
2016-06-12,28,22,0
2016-06-19,23,20,0
2016-06-26,23,18,0
2016-07-03,21,18,0
2016-07-10,24,18,0
2016-07-17,65,47,0
2016-07-24,20,19,0
2016-07-31,16,17,0
2016-08-07,13,17,0
2016-08-14,10,17,0
2016-08-21,12,23,0
2016-08-28,14,25,0
2016-09-04,15,22,0
2016-09-11,11,17,0
2016-09-18,10,20,0
2016-09-25,9,17,0
2016-10-02,9,83,0
2016-10-09,9,30,0
2016-10-16,9,22,0
2016-10-23,13,19,0
2016-10-30,12,15,0
2016-11-06,11,14,0
2016-11-13,15,14,0
2016-11-20,10,18,0
2016-11-27,9,14,0
2016-12-04,11,17,0
2016-12-11,11,16,0
2016-12-18,10,15,0
2016-12-25,10,18,0
2017-01-01,9,17,0
2017-01-08,9,15,0
2017-01-15,9,13,0
2017-01-22,10,10,0
2017-01-29,9,13,0
2017-02-05,10,11,0
2017-02-12,9,12,0
2017-02-19,8,12,0
2017-02-26,7,9,0
2017-03-05,7,10,0
2017-03-12,7,11,0
2017-03-19,7,13,0
2017-03-26,6,13,0
2017-04-02,6,12,0
2017-04-09,6,10,0
2017-04-16,7,12,0
2017-04-23,6,25,0
2017-04-30,7,17,0
2017-05-07,7,12,0
2017-05-14,9,11,0
